Type,Year,lac,Country
Beer,1961,5.07,Germany
Beer,1962,5.35,Germany
Beer,1963,5.64,Germany
Beer,1964,6.07,Germany
Beer,1965,6.08,Germany
Beer,1966,6.26,Germany
Beer,1967,6.3,Germany
Beer,1968,6.39,Germany
Beer,1969,6.89,Germany
Beer,1970,7.01,Germany
Beer,1971,7.2,Germany
Beer,1972,7.27,Germany
Beer,1973,7.35,Germany
Beer,1974,7.36,Germany
Beer,1975,7.38,Germany
Beer,1976,7.51,Germany
Beer,1977,7.39,Germany
Beer,1978,7.22,Germany
Beer,1979,7.21,Germany
Beer,1980,7.28,Germany
Beer,1981,7.35,Germany
Beer,1982,7.43,Germany
Beer,1983,7.46,Germany
Beer,1984,7.26,Germany
Beer,1985,7.28,Germany
Beer,1986,7.31,Germany
Beer,1987,7.18,Germany
Beer,1988,7.12,Germany
Beer,1989,7.13,Germany
Beer,1990,7.15,Germany
Beer,1991,6.79,Germany
Beer,1992,6.9,Germany
Beer,1993,6.28,Germany
Beer,1994,6.38,Germany
Beer,1995,6.31,Germany
Beer,1996,6.13,Germany
Beer,1997,6.09,Germany
Beer,1998,5.91,Germany
Beer,1999,6.39,Germany
Beer,2000,6.06,Germany
Beer,2001,5.69,Germany
Beer,2002,5.67,Germany
Beer,2003,5.48,Germany
Beer,2004,5.38,Germany
Beer,2005,5.5,Germany
Beer,2006,5.6,Germany
Beer,2007,5.4,Germany
Beer,2008,5.29,Germany
Beer,2009,5.29,Germany
Beer,2010,5.2,Germany
Beer,2011,5.15,Germany
Beer,2012,5.15,Germany
Beer,2013,5.05,Germany
Beer,2014,5.1,Germany
Wine,1961,1.46,Germany
Wine,1962,1.68,Germany
Wine,1963,1.83,Germany
Wine,1964,2.14,Germany
Wine,1965,2.01,Germany
Wine,1966,1.85,Germany
Wine,1967,1.86,Germany
Wine,1968,1.82,Germany
Wine,1969,1.86,Germany
Wine,1970,1.91,Germany
Wine,1971,2.19,Germany
Wine,1972,2.33,Germany
Wine,1973,2.59,Germany
Wine,1974,2.39,Germany
Wine,1975,2.78,Germany
Wine,1976,2.82,Germany
Wine,1977,2.79,Germany
Wine,1978,2.84,Germany
Wine,1979,2.9,Germany
Wine,1980,3.05,Germany
Wine,1981,2.96,Germany
Wine,1982,2.99,Germany
Wine,1983,3.19,Germany
Wine,1984,3.1,Germany
Wine,1985,3.08,Germany
Wine,1986,2.8,Germany
Wine,1987,3.09,Germany
Wine,1988,3.09,Germany
Wine,1989,3.15,Germany
Wine,1990,3.14,Germany
Wine,1991,2.52,Germany
Wine,1992,2.54,Germany
Wine,1993,2.58,Germany
Wine,1994,2.46,Germany
Wine,1995,2.53,Germany
Wine,1996,2.57,Germany
Wine,1997,2.6,Germany
Wine,1998,2.57,Germany
Wine,1999,2.53,Germany
Wine,2000,2.69,Germany
Wine,2001,2.72,Germany
Wine,2002,2.67,Germany
Wine,2003,2.68,Germany
Wine,2004,2.62,Germany
Wine,2005,2.6,Germany
Wine,2006,2.6,Germany
Wine,2007,2.7,Germany
Wine,2008,2.7,Germany
Wine,2009,2.6,Germany
Wine,2010,2.7,Germany
Wine,2011,2.77,Germany
Wine,2012,2.77,Germany
Wine,2013,2.68,Germany
Wine,2014,2.7,Germany
Spirits,1961,2.12,Germany
Spirits,1962,2.37,Germany
Spirits,1963,2.5,Germany
Spirits,1964,2.38,Germany
Spirits,1965,2.71,Germany
Spirits,1966,2.34,Germany
Spirits,1967,2.21,Germany
Spirits,1968,2.56,Germany
Spirits,1969,2.72,Germany
Spirits,1970,2.99,Germany
Spirits,1971,3.31,Germany
Spirits,1972,2.93,Germany
Spirits,1973,3.03,Germany
Spirits,1974,2.65,Germany
Spirits,1975,3.03,Germany
Spirits,1976,3.29,Germany
Spirits,1977,2.9,Germany
Spirits,1978,2.98,Germany
Spirits,1979,3.35,Germany
Spirits,1980,3.04,Germany
Spirits,1981,2.79,Germany
Spirits,1982,2.54,Germany
Spirits,1983,2.45,Germany
Spirits,1984,2.33,Germany
Spirits,1985,2.37,Germany
Spirits,1986,2.29,Germany
Spirits,1987,2.23,Germany
Spirits,1988,2.1,Germany
Spirits,1989,2.05,Germany
Spirits,1990,2.24,Germany
Spirits,1991,2.38,Germany
Spirits,1992,2.17,Germany
Spirits,1993,2.48,Germany
Spirits,1994,2.37,Germany
Spirits,1995,2.37,Germany
Spirits,1996,2.33,Germany
Spirits,1997,2.25,Germany
Spirits,1998,2.25,Germany
Spirits,1999,2,Germany
Spirits,2000,2.17,Germany
Spirits,2001,2.15,Germany
Spirits,2002,2.07,Germany
Spirits,2003,2,Germany
Spirits,2004,2.12,Germany
Spirits,2005,1.9,Germany
Spirits,2006,1.9,Germany
Spirits,2007,1.8,Germany
Spirits,2008,1.8,Germany
Spirits,2009,1.8,Germany
Spirits,2010,1.8,Germany
Spirits,2011,1.78,Germany
Spirits,2012,1.78,Germany
Spirits,2013,1.78,Germany
Spirits,2014,1.8,Germany
Alcohol,1961,2.12,Germany
Alcohol,1962,2.37,Germany
Alcohol,1963,2.5,Germany
Alcohol,1964,2.38,Germany
Alcohol,1965,2.71,Germany
Alcohol,1966,2.34,Germany
Alcohol,1967,2.21,Germany
Alcohol,1968,2.56,Germany
Alcohol,1969,2.72,Germany
Alcohol,1970,2.99,Germany
Alcohol,1971,3.31,Germany
Alcohol,1972,2.93,Germany
Alcohol,1973,3.03,Germany
Alcohol,1974,2.65,Germany
Alcohol,1975,3.03,Germany
Alcohol,1976,3.29,Germany
Alcohol,1977,2.9,Germany
Alcohol,1978,2.98,Germany
Alcohol,1979,3.35,Germany
Alcohol,1980,3.04,Germany
Alcohol,1981,2.79,Germany
Alcohol,1982,2.54,Germany
Alcohol,1983,2.45,Germany
Alcohol,1984,2.33,Germany
Alcohol,1985,2.37,Germany
Alcohol,1986,2.29,Germany
Alcohol,1987,2.23,Germany
Alcohol,1988,2.1,Germany
Alcohol,1989,2.05,Germany
Alcohol,1990,2.24,Germany
Alcohol,1991,2.38,Germany
Alcohol,1992,2.17,Germany
Alcohol,1993,2.48,Germany
Alcohol,1994,2.37,Germany
Alcohol,1995,2.37,Germany
Alcohol,1996,2.33,Germany
Alcohol,1997,2.25,Germany
Alcohol,1998,2.25,Germany
Alcohol,1999,2,Germany
Alcohol,2000,2.17,Germany
Alcohol,2001,2.15,Germany
Alcohol,2002,2.07,Germany
Alcohol,2003,2,Germany
Alcohol,2004,2.12,Germany
Alcohol,2005,1.9,Germany
Alcohol,2006,1.9,Germany
Alcohol,2007,1.8,Germany
Alcohol,2008,1.8,Germany
Alcohol,2009,1.8,Germany
Alcohol,2010,1.8,Germany
Alcohol,2011,1.78,Germany
Alcohol,2012,1.78,Germany
Alcohol,2013,1.78,Germany
Alcohol,2014,1.8,Germany
Beer,1961,4.44,Australia
Beer,1962,4.5,Australia
Beer,1963,5.27,Australia
Beer,1964,5.42,Australia
Beer,1965,5.41,Australia
Beer,1966,5.53,Australia
Beer,1967,5.72,Australia
Beer,1968,5.89,Australia
Beer,1969,6.03,Australia
Beer,1970,6.13,Australia
Beer,1971,6.15,Australia
Beer,1972,6.3,Australia
Beer,1973,6.87,Australia
Beer,1974,7,Australia
Beer,1975,6.83,Australia
Beer,1976,6.83,Australia
Beer,1977,6.85,Australia
Beer,1978,6.64,Australia
Beer,1979,6.71,Australia
Beer,1980,6.59,Australia
Beer,1981,6.59,Australia
Beer,1982,6.24,Australia
Beer,1983,6.03,Australia
Beer,1984,5.85,Australia
Beer,1985,5.91,Australia
Beer,1986,5.66,Australia
Beer,1987,5.77,Australia
Beer,1988,5.9,Australia
Beer,1989,5.82,Australia
Beer,1990,5.52,Australia
Beer,1991,5.2,Australia
Beer,1992,4.97,Australia
Beer,1993,4.29,Australia
Beer,1994,4.28,Australia
Beer,1995,4.23,Australia
Beer,1996,4.18,Australia
Beer,1997,4.12,Australia
Beer,1998,4.06,Australia
Beer,1999,4,Australia
Beer,2000,4.01,Australia
Beer,2001,3.24,Australia
Beer,2002,3.96,Australia
Beer,2003,3.96,Australia
Beer,2004,3.65,Australia
Beer,2005,3.69,Australia
Beer,2006,3.7,Australia
Beer,2007,3.68,Australia
Beer,2008,3.7,Australia
Beer,2009,3.68,Australia
Beer,2010,3.63,Australia
Beer,2011,3.46,Australia
Beer,2012,3.33,Australia
Beer,2013,3.26,Australia
Beer,2014,3.26,Australia
Wine,1961,0.95,Australia
Wine,1962,1.09,Australia
Wine,1963,0.87,Australia
Wine,1964,1.08,Australia
Wine,1965,1.1,Australia
Wine,1966,0.98,Australia
Wine,1967,1.3,Australia
Wine,1968,1.35,Australia
Wine,1969,1.42,Australia
Wine,1970,1.67,Australia
Wine,1971,1.35,Australia
Wine,1972,1.55,Australia
Wine,1973,1.61,Australia
Wine,1974,1.77,Australia
Wine,1975,2.25,Australia
Wine,1976,2.1,Australia
Wine,1977,2.23,Australia
Wine,1978,1.95,Australia
Wine,1979,2.3,Australia
Wine,1980,2.61,Australia
Wine,1981,2.23,Australia
Wine,1982,2.35,Australia
Wine,1983,2.07,Australia
Wine,1984,2.61,Australia
Wine,1985,2.31,Australia
Wine,1986,2.63,Australia
Wine,1987,2.15,Australia
Wine,1988,2.49,Australia
Wine,1989,2.46,Australia
Wine,1990,2.32,Australia
Wine,1991,1.92,Australia
Wine,1992,2.25,Australia
Wine,1993,2.28,Australia
Wine,1994,2.34,Australia
Wine,1995,2.52,Australia
Wine,1996,2.4,Australia
Wine,1997,2.61,Australia
Wine,1998,2.84,Australia
Wine,1999,2.7,Australia
Wine,2000,2.85,Australia
Wine,2001,3.35,Australia
Wine,2002,3.68,Australia
Wine,2003,3.37,Australia
Wine,2004,3.54,Australia
Wine,2005,3.54,Australia
Wine,2006,4.02,Australia
Wine,2007,3.09,Australia
Wine,2008,2.87,Australia
Wine,2009,2.81,Australia
Wine,2010,3.36,Australia
Wine,2011,2.93,Australia
Wine,2012,3.12,Australia
Wine,2013,2.86,Australia
Wine,2014,2.81,Australia
Spirits,1961,0.83,Australia
Spirits,1962,0.81,Australia
Spirits,1963,0.88,Australia
Spirits,1964,0.96,Australia
Spirits,1965,0.84,Australia
Spirits,1966,0.84,Australia
Spirits,1967,0.93,Australia
Spirits,1968,0.92,Australia
Spirits,1969,1.03,Australia
Spirits,1970,1.06,Australia
Spirits,1971,1.1,Australia
Spirits,1972,1.24,Australia
Spirits,1973,1.26,Australia
Spirits,1974,1.21,Australia
Spirits,1975,1.17,Australia
Spirits,1976,1.28,Australia
Spirits,1977,1.34,Australia
Spirits,1978,1.09,Australia
Spirits,1979,1.03,Australia
Spirits,1980,1.12,Australia
Spirits,1981,1.19,Australia
Spirits,1982,1.2,Australia
Spirits,1983,1.14,Australia
Spirits,1984,1.22,Australia
Spirits,1985,1.3,Australia
Spirits,1986,1.2,Australia
Spirits,1987,1.27,Australia
Spirits,1988,1.32,Australia
Spirits,1989,1.31,Australia
Spirits,1990,0.92,Australia
Spirits,1991,0.88,Australia
Spirits,1992,0.92,Australia
Spirits,1993,1.16,Australia
Spirits,1994,1.36,Australia
Spirits,1995,1.28,Australia
Spirits,1996,1.34,Australia
Spirits,1997,1.42,Australia
Spirits,1998,1.4,Australia
Spirits,1999,1.49,Australia
Spirits,2000,1.64,Australia
Spirits,2001,1.44,Australia
Spirits,2002,1.48,Australia
Spirits,2003,1.6,Australia
Spirits,2004,0.96,Australia
Spirits,2005,0.97,Australia
Spirits,2006,0.93,Australia
Spirits,2007,0.91,Australia
Spirits,2008,0.94,Australia
Spirits,2009,1.04,Australia
Spirits,2010,1.05,Australia
Spirits,2011,1.08,Australia
Spirits,2012,1.01,Australia
Spirits,2013,1.04,Australia
Spirits,2014,1,Australia
Alcohol,1961,6.22,Australia
Alcohol,1962,6.4,Australia
Alcohol,1963,7.02,Australia
Alcohol,1964,7.46,Australia
Alcohol,1965,7.35,Australia
Alcohol,1966,7.35,Australia
Alcohol,1967,7.96,Australia
Alcohol,1968,8.16,Australia
Alcohol,1969,8.47,Australia
Alcohol,1970,8.86,Australia
Alcohol,1971,8.6,Australia
Alcohol,1972,9.1,Australia
Alcohol,1973,9.74,Australia
Alcohol,1974,9.98,Australia
Alcohol,1975,10.25,Australia
Alcohol,1976,10.22,Australia
Alcohol,1977,10.42,Australia
Alcohol,1978,9.67,Australia
Alcohol,1979,10.03,Australia
Alcohol,1980,10.32,Australia
Alcohol,1981,10.01,Australia
Alcohol,1982,9.79,Australia
Alcohol,1983,9.24,Australia
Alcohol,1984,9.69,Australia
Alcohol,1985,9.51,Australia
Alcohol,1986,9.5,Australia
Alcohol,1987,9.2,Australia
Alcohol,1988,9.71,Australia
Alcohol,1989,9.59,Australia
Alcohol,1990,8.76,Australia
Alcohol,1991,7.99,Australia
Alcohol,1992,8.13,Australia
Alcohol,1993,7.73,Australia
Alcohol,1994,7.98,Australia
Alcohol,1995,8.03,Australia
Alcohol,1996,7.91,Australia
Alcohol,1997,8.16,Australia
Alcohol,1998,8.29,Australia
Alcohol,1999,8.19,Australia
Alcohol,2000,8.5,Australia
Alcohol,2001,8.03,Australia
Alcohol,2002,9.12,Australia
Alcohol,2003,8.94,Australia
Alcohol,2004,8.15,Australia
Alcohol,2005,8.2,Australia
Alcohol,2006,8.64,Australia
Alcohol,2007,7.69,Australia
Alcohol,2008,7.52,Australia
Alcohol,2009,7.52,Australia
Alcohol,2010,8.03,Australia
Alcohol,2011,7.47,Australia
Alcohol,2012,7.47,Australia
Alcohol,2013,7.16,Australia
Alcohol,2014,7.07,Australia
Beer,1961,3.75,Ireland
Beer,1962,3.82,Ireland
Beer,1963,3.87,Ireland
Beer,1964,4.02,Ireland
Beer,1965,3.97,Ireland
Beer,1966,4.11,Ireland
Beer,1967,4.15,Ireland
Beer,1968,4.55,Ireland
Beer,1969,4.71,Ireland
Beer,1970,5.06,Ireland
Beer,1971,5.44,Ireland
Beer,1972,5.78,Ireland
Beer,1973,6.32,Ireland
Beer,1974,6.51,Ireland
Beer,1975,6.45,Ireland
Beer,1976,6.15,Ireland
Beer,1977,6,Ireland
Beer,1978,6.09,Ireland
Beer,1979,6.17,Ireland
Beer,1980,6.11,Ireland
Beer,1981,5.85,Ireland
Beer,1982,5.77,Ireland
Beer,1983,5.39,Ireland
Beer,1984,5.4,Ireland
Beer,1985,5.41,Ireland
Beer,1986,5.32,Ireland
Beer,1987,5.3,Ireland
Beer,1988,5.47,Ireland
Beer,1989,5.8,Ireland
Beer,1990,6.1,Ireland
Beer,1991,6.2,Ireland
Beer,1992,6.58,Ireland
Beer,1993,6.35,Ireland
Beer,1994,6.78,Ireland
Beer,1995,6.94,Ireland
Beer,1996,7.28,Ireland
Beer,1997,7.68,Ireland
Beer,1998,7.71,Ireland
Beer,1999,7.77,Ireland
Beer,2000,6.3,Ireland
Beer,2001,6.23,Ireland
Beer,2002,6.09,Ireland
Beer,2003,5.82,Ireland
Beer,2004,5.66,Ireland
Beer,2005,5.58,Ireland
Beer,2006,5.48,Ireland
Beer,2007,5.37,Ireland
Beer,2008,5.02,Ireland
Beer,2009,4.64,Ireland
Beer,2010,4.54,Ireland
Beer,2011,4.34,Ireland
Beer,2012,4.23,Ireland
Beer,2013,3.92,Ireland
Beer,2014,4.02,Ireland
Wine,1961,0.25,Ireland
Wine,1962,0.25,Ireland
Wine,1963,0.26,Ireland
Wine,1964,0.28,Ireland
Wine,1965,0.29,Ireland
Wine,1966,0.31,Ireland
Wine,1967,0.33,Ireland
Wine,1968,0.34,Ireland
Wine,1969,0.35,Ireland
Wine,1970,0.39,Ireland
Wine,1971,0.39,Ireland
Wine,1972,0.39,Ireland
Wine,1973,0.42,Ireland
Wine,1974,0.47,Ireland
Wine,1975,0.5,Ireland
Wine,1976,0.58,Ireland
Wine,1977,0.6,Ireland
Wine,1978,0.57,Ireland
Wine,1979,0.57,Ireland
Wine,1980,0.43,Ireland
Wine,1981,0.43,Ireland
Wine,1982,0.41,Ireland
Wine,1983,0.38,Ireland
Wine,1984,0.4,Ireland
